optimizer,lr,seed,epoch,val_loss,val_top1,val_top5
muon,0.04,42,16,0.234400,92.9000,99.8300
muon,0.04,42,17,0.237100,92.7600,99.8800
muon,0.04,42,18,0.220700,93.1700,99.8600
muon,0.04,42,19,0.221800,93.2800,99.8400
muon,0.04,42,20,0.216200,93.4300,99.8400
muon,0.04,42,21,0.216600,93.5400,99.8600
muon,0.04,42,22,0.215400,93.6200,99.8500
muon,0.04,42,23,0.215400,93.6500,99.8500
muon,0.04,43,0,1.056900,63.6600,96.6700
muon,0.04,43,1,0.619400,78.8800,98.7900
muon,0.04,43,2,0.546700,81.5100,98.9800
muon,0.04,43,3,0.439200,84.9800,99.1900
muon,0.04,43,4,0.422400,85.6000,99.3200
muon,0.04,43,5,0.383400,86.6900,99.6300
muon,0.04,43,6,0.397500,86.1500,99.5500
muon,0.04,43,7,0.305200,89.1700,99.7400
muon,0.04,43,8,0.285000,90.3800,99.7100
muon,0.04,43,9,0.275100,90.3900,99.7200
muon,0.04,43,10,0.262900,91.3900,99.8400
muon,0.04,43,11,0.257600,91.5500,99.8200
muon,0.04,43,12,0.264800,91.2500,99.8200
muon,0.04,43,13,0.251800,91.9000,99.8200
muon,0.04,43,14,0.246500,92.4400,99.7300
muon,0.04,43,15,0.246000,92.6200,99.7800
muon,0.04,43,16,0.230000,92.7800,99.7800
muon,0.04,43,17,0.226800,92.9500,99.7900
muon,0.04,43,18,0.223600,93.2100,99.8500
muon,0.04,43,19,0.217000,93.5700,99.8300
muon,0.04,43,20,0.218000,93.4200,99.8300
muon,0.04,43,21,0.213700,93.6000,99.8400
muon,0.04,43,22,0.213600,93.6200,99.8700
muon,0.04,43,23,0.212800,93.6800,99.8700
muon,0.04,44,0,1.005700,65.6100,97.3600
muon,0.04,44,1,0.775100,72.9600,98.1700
muon,0.04,44,2,0.583500,79.8000,98.9900
muon,0.04,44,3,0.526700,82.4700,99.0800
muon,0.04,44,4,0.423300,85.6900,99.3300
muon,0.04,44,5,0.353900,87.8300,99.6000
muon,0.04,44,6,0.338400,88.6100,99.5200
muon,0.04,44,7,0.337500,88.5700,99.6300
muon,0.04,44,8,0.283900,90.6200,99.7000
muon,0.04,44,9,0.267000,91.1000,99.6700
muon,0.04,44,10,0.301100,90.1400,99.6500
muon,0.04,44,11,0.273200,91.1400,99.7500
muon,0.04,44,12,0.254400,91.6000,99.7500
muon,0.04,44,13,0.242900,92.1500,99.8100
muon,0.04,44,14,0.241500,92.4700,99.8000
muon,0.04,44,15,0.241900,92.2900,99.7900
muon,0.04,44,16,0.234400,92.9000,99.8000
muon,0.04,44,17,0.223200,93.2000,99.8100
muon,0.04,44,18,0.214800,93.4700,99.8400
muon,0.04,44,19,0.216100,93.7300,99.8300
muon,0.04,44,20,0.213500,93.8500,99.8600
muon,0.04,44,21,0.210200,93.7800,99.8700
muon,0.04,44,22,0.209900,93.8600,99.8700
muon,0.04,44,23,0.210000,93.9200,99.8700
muon_moonlight,0.005,42,0,0.908900,69.0600,97.6900
muon_moonlight,0.005,42,1,0.673400,77.0700,98.3400
muon_moonlight,0.005,42,2,0.612900,78.6400,98.7400
muon_moonlight,0.005,42,3,0.458600,84.3500,99.1800
muon_moonlight,0.005,42,4,0.423800,85.5400,99.3900
muon_moonlight,0.005,42,5,0.394100,86.5200,99.5500
muon_moonlight,0.005,42,6,0.325300,88.8600,99.6100
muon_moonlight,0.005,42,7,0.299900,89.7700,99.6300
muon_moonlight,0.005,42,8,0.307300,89.5000,99.6700
muon_moonlight,0.005,42,9,0.276100,90.4900,99.7800
muon_moonlight,0.005,42,10,0.277000,90.6200,99.7600
muon_moonlight,0.005,42,11,0.245700,91.7200,99.8200
muon_moonlight,0.005,42,12,0.248200,92.0000,99.7400
muon_moonlight,0.005,42,13,0.248000,91.6800,99.7900
muon_moonlight,0.005,42,14,0.234500,92.4200,99.8600
muon_moonlight,0.005,42,15,0.232000,92.5000,99.8200
muon_moonlight,0.005,42,16,0.225700,93.0700,99.8200
muon_moonlight,0.005,42,17,0.226900,92.9400,99.8600
muon_moonlight,0.005,42,18,0.219400,93.1700,99.8400
muon_moonlight,0.005,42,19,0.218500,93.3000,99.8400
muon_moonlight,0.005,42,20,0.212700,93.5400,99.8400
muon_moonlight,0.005,42,21,0.210900,93.5800,99.8500
muon_moonlight,0.005,42,22,0.210900,93.6900,99.8300
muon_moonlight,0.005,42,23,0.210700,93.6900,99.8300
muon_moonlight,0.005,43,0,0.985800,66.1200,97.1500
muon_moonlight,0.005,43,1,0.638800,78.2600,98.5600
muon_moonlight,0.005,43,2,0.511100,82.6100,99.0200
muon_moonlight,0.005,43,3,0.459500,84.3900,99.1900
muon_moonlight,0.005,43,4,0.449600,84.5700,99.2900
muon_moonlight,0.005,43,5,0.370600,87.1300,99.5200
muon_moonlight,0.005,43,6,0.365300,87.4400,99.6100
muon_moonlight,0.005,43,7,0.314000,89.3300,99.7500
muon_moonlight,0.005,43,8,0.286800,90.5800,99.6400
muon_moonlight,0.005,43,9,0.264600,90.8800,99.7300
muon_moonlight,0.005,43,10,0.260900,91.0800,99.7800
muon_moonlight,0.005,43,11,0.253600,91.5000,99.7300
muon_moonlight,0.005,43,12,0.254600,91.4700,99.8000
muon_moonlight,0.005,43,13,0.244100,91.8000,99.7800
muon_moonlight,0.005,43,14,0.250900,92.1200,99.8000
muon_moonlight,0.005,43,15,0.232600,92.5300,99.8000
muon_moonlight,0.005,43,16,0.241300,92.5000,99.8000
